timestamp,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,mbps,drop_delta,error_delta
2026-05-14T15:14:59,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:01,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:04,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:06,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:08,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:10,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:12,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:14,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:16,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:18,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:20,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:22,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:25,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:27,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:29,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:31,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:33,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:35,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:37,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:39,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:41,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:43,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:45,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:47,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:49,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:51,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:53,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:55,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:15:58,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:00,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:02,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:04,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:06,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:08,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:10,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:12,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:14,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:16,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:18,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:20,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:22,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:24,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:26,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:29,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:31,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:33,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:35,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:38,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:40,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:16:42,7258,13774,0,0,0,0,0.0,0,0
